Sentences,Propaganda (Optional),Fake/Legit,Sentiment,Bots (Optional),Topic (Domain),Source,Why Fake? (Optional),MSA or ALG dialects ,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,
"In this Column, insert the fake and legit sentences you collected from the various web sources","If the sentence collected can be categorized as a propaganda, you will select yes in this column, otherwise select no",Select a label for the sentence after doing your verification. Is it a fake news (Fake) ? or is it a Legit (True) News ?,"Categorize the sentence as “positive”, “negative”, “neutral” or ""mixed"". For instance, the text “This is a nice day” is positive, while “I don’t like this movie” is negative.
Some texts can contain both positive and negative statements at the same time. For instance, “I don’t like the color of this car, but the speed is great” would be classified as “mixed” sentiment. In case there is no negative or positive statements, the sentence is neutral","In case of Tweets, is the sentence posted by a human or a Bot?",Select the main domain/ topic of the sentence,Indicate here the source URL of the sentence,"If you selected the fake category, you can indicated here the reason ( Optional)",,,,,,,,,,,
"الصفحة المنسوبة للمدعو زكي أيوب نشرت اليوم مقالا تحليليا استهلته بالتعليق على صورة يظهر فيها مارادونا ، بيلي وبلاتيني، حيث إدعت أن بلاتيني كان يرتدي قميص كتب عليه لا للفساد وهذا خاطئ حيث يسهل قراءة عبارة ""Drogue No!"" أي ""لا للمخدرات"" على قميص بلاتيني (الصورة مكبرة على اليمين) ، كما أنها إدعت أن الصورة من منديال 1986 وهذا خطأ فهي من مقابلة استعراضية في سنة 1988 ",No,Fake (Lie),Neutral,No,Sports,https://web.facebook.com/FakenewsDZ/posts/1173137616191577,the link of the photo:https://www.street-tease.com/frais/2327-photo-de-legende-maradona-porte-un-maillot-no-drug-au-jubile-platini.html,MSA,983,834,62,81,4,1,1,133,1173137616191577,
لعب الدر...شبيه الفنان صالح اوغروت من فلسطين الحبيبة سبحان الله فولة و تقسمت على زوج ....متداول شبيه الفنان صالح اوغروت من فلسطين الحبيبة سبحان الله فولة و تقسمت على زوج ....😍😍شبيه الفنان صالح اوغروت من فلسطين الحبيبة سبحان الله فولة و تقسمت على زوج ....,No,Fake (Lie),Neutral,No,Politics,https://web.facebook.com/FakenewsDZ/posts/1173086469530025,,ALG,2.7K,1.2K,1.3K,73,26,12,8,232,1173086469530025,
وهران.. كاميرا مراقبة ترصد لحظات اعتداء على شاب بالخنق من قبل مجهولين لسرقة هاتفه,No,Fake (Lie),Negative,No,,https://web.facebook.com/FakenewsDZ/posts/1173013222870683,الفيديو المنتشر لاعتداء على شخص لسرقة هاتفه هو في الحقيقة في المغرب وليس في وهران,MSA,1.3K,1.1K,16,119,31,4,3,110,1173013222870683,
صورة المجاهدة جميلة بوحيرد مع الرئيس الفرنسي ,Yes,Fake (Lie),Negative,No,Politics,https://web.facebook.com/FakenewsDZ/posts/1173000189538653,السيدة مع الرئيس الفرنسي هي أرملة الرئيس التونسي الراحل السبسي وليست المجاهدة جميلة بوحيرد,MSA,1.3K,1.1K,109,93,25,6,21,133,1173000189538653,
موقع الجزائر1: لم يكن أي حراك في الجمعة 23 ,No,Fake (Lie),Neutral,No,Politics,https://web.facebook.com/FakenewsDZ/posts/11172861189552553,موقع الجزائر1 يدعي أنه لم يكن أي حراك في الجمعة 23 رغم أن وكالة الأنباء كانت قد أكدت خروج الكثير من المواطنين هذا اليوم,MSA,616,524,59,22,4,,7,61,1172861189552553,
مغالطة. الناشط النقابي بن جلول : كنت رايح عطلة، عيطولي قالولي انت ناشط في تڨرت وحنا حابين مجموعة الحوار تكون شاملة، أيا ركبت الكار و طلعت. ماذا سمعت شوف شوف : أنا خاطيني كنت قاعد عيطولي 😳. ما علابالوش كيفاش جا وعلاش جا!! كرنفال في دشرة ,No,Legit (True),Negative,No,Politics,https://web.facebook.com/FakenewsDZ/posts/1172316039607068,,MSA,710,575,82,39,5,3,6,85,1172316039607068,
تتعرض  منطقة القبائل لحرائق كثيفة في الأيام الأخيرة يمكن مشاهدة صور لحرائق  منطقة القبائل,No,Fake (Lie),Negative,No,Other,,تتعرض منطقة القبائل لحرائق كثيفة في الأيام الأخيرة، لكن للأسف بعض الصفحات عوض نقل الخبر بصور حقيقية تقوم بنشر صور لحرائق في أستراليا وكاليفورنيا,MSA,1.3K,1K,10,86,21,65,31,170,1.17212E+15,
دزاير TV:  هكذا استقبل نادي مانشستر سيتي البطل رياض محرز💪💪,No,Fake (Lie),Neutral,No,Sports,,لفيديو الذي نشرته دزاير TV لاستقبال رياض محرز يعود إلى 2018 عندما التحق محرز بمانشيستر سيتي https://youtu.be/rvjvjHNFK6A,MSA,816,645,124,28,15,2,2,52,,
الخضر  يحتلون المركز 19 عالميا ,No,Fake (Lie),Positive,No,Sports,/story.php?story_fbid=1169563919882280&id=1097248773780462,"""يبدو أن أول من نشر الترتيب الخاطئ (19) هي صفحة الشروق (تم حذف المنشور بدون تكذيب أو اعتراف بالخطأ) مما أدى الى انتشار كبير.صفحة الجزائر1 تساهم في تواصل انتشار الخبر الكاذب.

الفيفا لم تُحدِّث ترتيبها بعد (التحديث يتم كل شهرين حوالي و أخر تحديث كان في 14 جوان) [1].

يجدر الإشارة الى أن طريقة حساب النقاط تغيرت العام الفارط و بما أن الطريقة معروفة يمكن للجميع التنبؤ بالترتيب القادم[2]. كثير من المواقع تقوم بهذا و يبدو أن الترتيب الجديد للجزائر سيكون في المركز 40 حوالي عالميا و4 إفريقيا[3]. [
1] https://www.fifa.com/fifa-world-ranking/ranking-table/men/
[2] https://resources.fifa.com/…/fifa-world-ranking-technical-e…
[3] http://www.football-rankings.info/…/fifa-ranking-july-2019-…""
",MSA,697,595,62,37,2,1,,59,,
 سياسيون ووسائل إعلام فرنسية كانت قد وجهت أصابع الإتهام في قضية إغتيال رعية غينية إلى مناصر جزائري,No,Fake (Lie),Negative,No,Other,, لكن حسب مصدر أمني نقلته وكالة الأنباء الفرنسية المتهم من جنسية تركية ولا يمكن لحد الآن إثبات علاقة للحادثة بنهائي الكان,MSA,399,347,2,29,12,4,5,28,1168926096612729,
 استقبال بن صالحلطالبة,Yes,Fake (Lie),Positive,,Politics,,خبر كاذب ، على الأقل فيما يخص استقبال بن صالح لهذه الطالبة، الصورة على اليمين   لبن صالح البارحة محلوق الرأس,MSA,591,481,81,27,,,2,56,1168891883282817,
